Customer Name,Logo Name,Contract Start Date,Contract End Date,CS MMYY,CE MMYY,Industrial Sector,Application,Version [TBD],Geography,Owner(PM),Exective,Plan Project start,Plan Project End,Total Usecases/Module,Custom usecase,Product usecase,Project Status (R/G/Y),Customer health,Recommendation[One pagers],Notes,Onepager,Revenue,GRR,NRR,Churn,NPS Score,Product ARR,Services Revenue
AIRBUS SAS,Airbus,12/15/2023,2/28/2026,Q4 2023,Q1 2026,Commercial Aerospace,SC&M,V1,EU,,Bhavana ,,,0,,,Green,Green,,,,,,,,,,
Aramco Trading Company,Saudi Aramco,01/01/24,12/31/2026,Q1 2024,Q4 2026,Transportation & Logistics,SC&M,V1,MEA,Mariam,Bhavana ,,,0,,,Red,Red,,,,,,,,,,
BAE Systems,BAE Systems,7/25/2024,7/24/2029,Q3 2024,Q3 2029,Commercial Aerospace,APM,V1,NAM,Bhavana,Bhavana ,,,0,,,Amber,Amber,,,,,,,,,,
Baylor School,Baylor School,10/26/2023,03/04/27,Q4 2023,Q2 2027,Education,,V1,NAM,Samatha,Bhavana ,,,0,,,Red,Amber,,,,,,,,,,
Britannia Limited,Britannia Limited,,12/31/2025,,Q4 2025,Warehouse,Computer Vision,V1,APAC,Pavan,Dinesh,,,22,1,21,Green,Amber,,,,,,,,,,
Core9 Ventures (Pvt.) Ltd.,CHT,05/07/23,7/30/2030,Q3 2023,Q3 2030,Industrial Manufacturing,Computer Vision,V1,APAC,Nayanika,TK,,,25,10,15,Red,Red,,,,,,,,,,
Core9 Ventures (Pvt.) Ltd.,Core9 Ventures (Pvt.) Ltd.[Nestle],05/07/23,7/30/2030,Q3 2023,Q3 2030,Industrial Manufacturing,Computer Vision,V1,APAC,Nayanika,Dinesh,,,16,7,9,Amber,Amber,,,,,,,,,,
Cory Environmental,Cory Environmental,11/29/2022,11/28/2025,Q4 2022,Q4 2025,Environmental & Waste Services,Computer Vision,V1,NAM,yogesh,TK,,,0,,,Green,Green,,,,,,,,,,
CP Plus,CP Plus,7/19/2024,7/18/2028,Q3 2024,Q3 2028,Retail,Computer Vision,V1,APAC,Pavan,TK,,,14,6,8,Green,Green,,,,,,,,,,
Datema Mobility AB,Datema Mobility AB,,12/31/2024,,Q4 2024,Technology,Silverline,V1,APAC,Prakhar,Dinesh,,,0,,,Red,Amber,,,,,,,,,,
Finnsementti Oy,Finnsementti Oy,3/29/2024,4/30/2026,Q1 2024,Q2 2026,Industrial Manufacturing,Computer Vision,V1,EU,,TK,,,0,,,Green,,,,,,,,,,,
